#! FIELDS idx_dist ves.targetdist_averages index
#! SET time 0.000000
#! SET iteration  0
#! SET type LinearBasisSet
#! SET ndimensions  1
#! SET ncoeffs_total  21
#! SET shape_dist  21
       0         1.0000000000000000e+00       0
       1         1.6501557065229377e-16       1
       2         1.1111111111264350e-05       2
       3         1.6631661325927638e-16       3
       4         3.7036748971380632e-05       4
       5         1.6154612370034016e-16       5
       6         7.7774321018010423e-05       6
       7         1.4051260155412137e-16       7
       8         1.3331432177238959e-04       8
       9         1.1210650463500116e-16       9
      10         2.0363309465819073e-04      10
      11         9.3024546399256280e-17      11
      12         2.8868297516099922e-04      12
      13         7.6110992508482411e-17      13
      14         3.8837984186435850e-04      14
      15         5.4210108624275222e-17      15
      16         5.0258812780846552e-04      16
      17         4.1308102771697719e-17      17
      18         6.3110338369812584e-04      18
      19         2.0274580625478933e-17      19
      20         7.7363253929911547e-04      20
#!-------------------


