#! FIELDS idx_dist ves.targetdist_averages index
#! SET time 0.000000
#! SET iteration  0
#! SET type LinearBasisSet
#! SET ndimensions  1
#! SET ncoeffs_total  26
#! SET shape_dist  26
       0         1.0000000000000000e+00       0
       1         1.6737343393706370e-04       1
       2        -8.6135852066350569e-05       2
       3        -1.8017662281752237e-03       3
       4         4.3529303262280862e-02       4
       5         4.8645815307251157e-02       5
       6         5.0238460557252937e-02       6
       7         4.9497644193925508e-02       7
       8         4.9666864218282418e-02       8
       9         4.9651366814998196e-02       9
      10         4.9650827520277670e-02      10
      11         4.9650902541433464e-02      11
      12         4.9650881898340660e-02      12
      13         4.9650899459389219e-02      13
      14         4.9650885409151385e-02      14
      15         4.9650896249330015e-02      15
      16         4.9650891204762432e-02      16
      17         4.9650877394314827e-02      17
      18         4.9650453179848404e-02      18
      19         4.9652608781496729e-02      19
      20         4.9634433864661001e-02      20
      21         4.9843617150956629e-02      21
      22         4.8479113705088006e-02      22
      23         5.4704204806280979e-02      23
      24         1.1121421124354137e-02      24
      25         5.6860898156858419e-04      25
#!-------------------


